,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL,Address_latitude,Address_longitude
211,Charlie Chech Live at Cardea!,20/09/2024 19:30,120,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",43.66,101.9,,https://www.eventbrite.com.au/e/charlie-chech-live-at-cardea-tickets-910187604627?aff=ebdssbdestsearch,-33.86512546,151.202201
212,Whispering Jack,21/09/2024 20:00,150,Club Kirrawee,"101 Oak Road Kirrawee, NSW 2232",27.78,27.78,,https://www.eventbrite.com.au/e/whispering-jack-tickets-899575613877?aff=ebdssbdestsearch,-34.02971955,151.0713678
213,Glass Island -  LOVE CLVB ft. POOLCLVB + FRIENDS - Sat 05 Oct 2024,5/10/2024 13:00,,Glass Island - check event info for Wharf Details,"King Street Wharf Darling Harbour Sydney, NSW 2000",49.4,49.4,,https://www.eventbrite.com.au/e/glass-island-love-clvb-ft-poolclvb-friends-sat-05-oct-2024-tickets-905820251757?aff=ebdssbdestsearch,-33.869019,151.201576
214,The Island: Island Opening Party,5/10/2024 15:00,300,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",55.3,3967.75,,https://www.eventbrite.com.au/e/the-island-island-opening-party-tickets-909173220577?aff=ebdssbdestsearch,-33.87333658,151.2424899
215,The Island: Sunday Fruits,6/10/2024 15:00,300,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",44.86,3967.75,,https://www.eventbrite.com.au/e/the-island-sunday-fruits-tickets-908708590857?aff=ebdssbdestsearch,-33.87333658,151.2424899
216,Live Music Lake Mac presents Darlinghurst supported by Piper Butcher,11/10/2024 18:30,210,"Warners Bay Theatre, baramayiba","39 Lake Street Warners Bay, NSW 2282",48.6,53.87,,https://www.eventbrite.com.au/e/live-music-lake-mac-presents-darlinghurst-supported-by-piper-butcher-tickets-754260171477?aff=ebdssbdestsearch,-32.972289,151.6457344
217,The Island: Saturday Sunset,12/10/2024 15:00,300,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",55.3,3967.75,,https://www.eventbrite.com.au/e/the-island-saturday-sunset-tickets-909177383027?aff=ebdssbdestsearch,-33.87333658,151.2424899
218,Throw Back x Social Women's  Club - Day Boat Party,12/10/2024 15:30,240,King Street Wharf,"35 The Promenade Sydney, NSW 2000",32.75,32.75,,https://www.eventbrite.com.au/e/throw-back-x-social-womens-club-day-boat-party-tickets-894134058037?aff=ebdssbdestsearch,-33.98591233,151.1316147
219,The Island: Sunday Social,13/10/2024 15:00,300,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",44.86,3967.75,,https://www.eventbrite.com.au/e/the-island-sunday-social-tickets-908709012117?aff=ebdssbdestsearch,-33.87333658,151.2424899
220,FABBA Superyacht Party,19/10/2024 19:00,,Queens Wharf Terminal,"242-258 Wharf Road Newcastle, NSW 2300",43.66,59.54,,https://www.eventbrite.com/e/fabba-superyacht-party-tickets-883123655627?aff=ebdssbdestsearch,-32.92588298,151.7809284
